session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,src_bytes,dst_bytes,traffic_volume,packet_rate,error_rate,syn_flag_count,session_count,attack_detected
56,7952,tcp,7,1999,1,76,1,Edge,0,77604,96647,174251,423.7937432602451,0.8588380417351211,12,39,0
57,11113,icmp,1,416,1,29,2,Chrome,0,42742,99398,142140,113.1560457922233,0.5426664432809077,37,13,0
58,13163,udp,2,506,1,19,5,Edge,0,43463,62838,106301,349.82618474898584,0.3918136124511016,30,3,0
59,3094,udp,6,1069,1,74,4,Firefox,0,49617,4884,54501,386.71496895526997,0.4817763640805973,43,26,1
60,13776,icmp,7,1338,0,88,4,Firefox,0,77327,43971,121298,270.13735109222347,0.3167141562059832,18,16,0
61,6906,icmp,9,1609,1,17,2,Firefox,1,68200,83867,152067,450.7385150528625,0.18332068203497187,41,16,0
62,13780,udp,2,1408,1,8,1,Edge,1,71920,25619,97539,113.33042219418387,0.43166706352282924,31,36,0
63,18919,icmp,9,717,0,29,3,Safari,1,97785,61054,158839,454.45621304356075,0.6645693443225029,39,32,1
64,3144,udp,8,1168,0,97,4,Edge,0,80183,49585,129768,183.17749386082247,0.7191044526470431,6,2,0
65,349,tcp,7,1173,1,18,0,Chrome,1,12680,78997,91677,339.77418140521183,0.9976815919522007,36,32,1
66,314,icmp,0,515,1,67,5,Chrome,0,57824,93818,151642,111.41794712107622,0.17443374565489944,7,4,0
67,19833,icmp,0,637,0,74,2,Safari,0,24418,57581,81999,62.94946519183824,0.007088977,29,10,0
68,11642,tcp,7,989,1,32,3,Safari,0,71129,41462,112591,488.0313656623985,0.5783460654531314,20,21,0
69,6310,tcp,8,636,1,76,1,Edge,0,89083,7402,96485,422.7020563105576,0.9986959111584642,22,13,0
70,4539,tcp,5,928,1,87,5,Firefox,0,90275,1192,91467,138.75096783080042,0.37997151583707434,47,31,1
71,261,tcp,7,873,1,47,2,Firefox,0,38063,95517,133580,403.44552400665157,0.2303757144015074,15,33,0
72,17784,tcp,7,536,1,96,2,Chrome,0,98846,55360,154206,180.8510725348478,0.851190694,10,33,0
73,11096,udp,3,1874,0,48,1,Edge,1,72745,86774,159519,454.19162131371434,0.7070359808297266,24,27,1
74,11866,udp,0,1413,0,71,1,Safari,0,80473,91240,171713,322.4284566985059,0.14829486377040357,18,26,0
75,16385,udp,8,1925,1,97,5,Chrome,0,52362,62983,115345,106.06934397706692,0.5465710922618904,37,33,1
76,3750,tcp,7,285,1,30,2,Firefox,0,4032,72298,76330,310.3044732607695,0.036868645,37,17,0
77,12282,icmp,7,1062,0,42,1,Safari,0,65617,58502,124119,134.79735844599463,0.7561405398123053,47,14,0
78,18876,tcp,0,167,1,89,4,Firefox,0,63945,26513,90458,305.7657482,0.48595723527878676,47,14,1
79,15202,tcp,0,374,1,91,3,Chrome,0,18565,61006,79571,383.53558479211443,0.6634283918186668,37,29,1
80,2260,tcp,1,73,1,15,5,Chrome,0,87515,59100,146615,383.8613210470238,0.24239545429186193,9,25,0
81,19470,icmp,9,10,1,9,3,Chrome,0,83028,86986,170014,398.64305188383844,0.9305356791816171,24,16,0
82,18162,icmp,6,1732,1,86,2,Chrome,0,61486,28831,90317,272.1675367195383,0.8262108697197297,38,8,1
83,11555,udp,6,1921,1,59,1,Safari,0,20776,59990,80766,441.1450526677876,0.4950445863490598,38,32,0
84,13479,tcp,7,1667,0,4,4,Firefox,1,69843,72385,142228,487.5667589303343,0.051370572109554535,27,12,1
85,9943,icmp,4,1426,1,63,5,Firefox,1,50270,56294,106564,143.74109227091998,0.9539470062575027,47,38,1
86,440,icmp,6,38,1,51,2,Chrome,1,71247,23179,94426,102.16516643471928,0.7627578748335343,25,34,1
87,6177,icmp,8,1633,1,25,4,Firefox,0,53485,44160,97645,306.4297538367054,0.5332585135308566,10,33,0
88,5643,tcp,1,1901,0,85,1,Chrome,1,97629,10891,108520,296.6515480871557,0.9805087024734263,45,32,1
89,3048,icmp,7,1117,0,16,2,Firefox,0,65404,94734,160138,376.8168954516345,0.8150274650102227,4,16,0
90,9771,tcp,9,1435,0,34,3,Safari,0,97392,77518,174910,345.1338084635235,0.871060004,27,20,1
91,1305,tcp,0,935,1,82,4,Edge,0,29534,47255,76789,306.9005400202402,0.7946220781210759,18,24,1
92,14144,tcp,8,54,1,41,2,Safari,1,33163,73365,106528,493.49144945686396,0.34533798093508505,3,21,0
93,13678,udp,2,250,1,1,3,Edge,0,16500,82399,98899,218.54390942848502,0.7255039917058205,33,16,0
94,3239,udp,1,236,1,21,5,Chrome,0,21948,63959,85907,189.78018166167107,0.2702619522379023,1,4,0
95,19584,udp,9,1436,1,55,0,Chrome,0,38705,12633,51338,282.3867254,0.46234187368354396,48,3,0
96,19385,tcp,2,958,1,61,0,Firefox,0,89084,43922,133006,413.2447160842904,0.6857968940946136,2,27,0
97,6699,icmp,1,1804,1,94,3,Firefox,1,70662,37058,107720,270.46135375933466,0.540399925,29,24,1
98,13006,udp,4,518,0,44,5,Firefox,0,25886,38936,64822,53.55539728100442,0.8134851109299307,18,13,1
99,19211,icmp,8,1730,0,47,0,Firefox,0,81876,45127,127003,369.72407318426207,0.034121724,23,20,0
100,2483,tcp,1,848,0,84,5,Firefox,0,89958,92070,182028,94.15276147628909,0.2097200935228759,20,28,1
101,1747,icmp,8,920,1,93,5,Edge,0,59901,47392,107293,71.39091071029169,0.032567476729927436,44,8,1
102,11664,udp,1,1446,1,2,3,Edge,0,33297,20031,53328,463.5609236,0.3310539958290608,0,10,0
103,16424,udp,7,263,1,6,5,Edge,0,75468,46942,122410,404.4129099,0.4683616318068371,22,3,0
104,396,icmp,8,1115,0,10,5,Safari,1,74854,45347,120201,166.17359484973773,0.6865085946278848,46,7,1
105,10513,tcp,5,1870,0,22,4,Edge,1,26531,47505,74036,430.09033245887343,0.35850841989209625,10,13,1
106,1510,icmp,9,771,1,98,2,Safari,0,58763,48478,107241,471.50113929787807,0.6495230987934668,13,18,0
107,13074,icmp,6,399,1,5,4,Firefox,0,4495,21270,25765,288.69474193112694,0.7885496195108577,9,26,0
108,6064,udp,7,553,1,32,4,Firefox,0,38403,94363,132766,99.25179039115947,0.9887231772316225,36,6,1
109,9379,udp,8,597,1,47,1,Chrome,1,68852,95981,164833,191.5124245144783,0.159024132,32,30,0
110,12496,icmp,4,763,0,56,2,Edge,0,97345,74052,171397,498.56144803969386,0.5056384586101343,31,11,0
111,10153,tcp,3,386,1,10,4,Firefox,0,88494,17170,105664,47.81228640217365,0.49461308943780735,14,25,0
112,14951,tcp,4,1977,0,76,0,Chrome,0,40451,87174,127625,247.10821686894664,0.17489333673372975,46,6,0
113,18525,udp,4,791,1,12,4,Edge,0,87569,13468,101037,277.7368922542074,0.13952557220634265,35,8,0
114,12508,icmp,1,984,0,41,5,Chrome,0,20991,80469,101460,318.0534424,0.4905505764560444,16,16,0
115,12548,udp,9,277,1,1,5,Firefox,0,83223,88967,172190,9.913712917316472,0.2227824047082636,24,36,0
116,8114,tcp,9,681,0,17,2,Edge,1,79196,16764,95960,253.758894,0.3320127475757978,7,3,0
117,7770,tcp,9,600,1,85,4,Safari,0,12965,31567,44532,97.36508885129305,0.3464341516200655,17,6,0
118,14134,udp,6,645,0,13,3,Edge,1,26639,77770,104409,161.44602317771069,0.22154251499825284,48,24,1
119,15239,udp,1,328,0,49,3,Chrome,0,2912,98221,101133,417.71447428215663,0.6366987648910837,13,15,0
120,5835,udp,8,49,1,91,0,Safari,0,52936,98890,151826,358.7180164166678,0.8225251038915433,13,35,0
121,4447,tcp,4,681,1,2,1,Edge,0,83769,64741,148510,309.04908385336284,0.1469128195658178,12,3,0
122,3806,icmp,4,1798,0,26,4,Chrome,1,29128,11511,40639,446.50912983275964,0.34934774875923846,44,35,1
123,5759,udp,8,1267,0,6,5,Edge,0,42821,41503,84324,66.25366490296045,0.079136529,22,39,0
124,16709,udp,0,519,0,71,2,Firefox,0,97976,9226,107202,481.309784,0.9001451800836283,1,36,0
125,9101,icmp,0,1631,1,59,0,Edge,0,78778,63895,142673,352.4381195347082,0.5076810964180046,27,15,0
126,8256,tcp,7,1197,1,64,0,Firefox,0,87501,90873,178374,484.36406615820016,0.6893590312133051,11,34,0
127,13881,udp,9,1685,0,48,4,Chrome,1,94283,50009,144292,71.25289729273835,0.5781166703706647,34,36,1
128,13121,tcp,2,1275,1,92,3,Chrome,1,56864,59637,116501,439.67496151605667,0.8797574206775093,2,29,1
129,15990,udp,2,736,1,34,4,Firefox,0,61629,65583,127212,195.9157845545706,0.3400840535546905,42,37,0
130,11112,tcp,4,1393,1,72,2,Chrome,1,63220,53658,116878,29.592499106386384,0.5693557608352128,43,36,1
131,4233,tcp,1,1152,1,77,5,Chrome,0,96391,77901,174292,347.45598708607986,0.1212542580735474,39,25,0
132,2143,icmp,7,1311,0,73,5,Firefox,1,99519,59969,159488,150.69798753780034,0.13743729903208857,29,5,1
133,8515,icmp,8,1030,1,96,2,Firefox,0,15085,69628,84713,26.172617570218783,0.20770726560015262,4,33,0
134,13256,icmp,4,929,1,75,0,Safari,0,92578,77908,170486,294.3115812501438,0.6601632035515862,32,37,0
135,18830,tcp,3,1583,1,12,1,Edge,1,3933,80817,84750,429.8249590886324,0.8504959684328359,26,8,1
136,1511,tcp,8,1756,1,47,2,Firefox,0,14009,60724,74733,321.85700868311307,0.038059232,0,31,0
137,11311,icmp,0,520,1,32,4,Chrome,0,5321,56817,62138,463.02111328143735,0.6175476452603345,15,4,0
138,17296,tcp,4,1136,0,45,1,Firefox,0,75354,2517,77871,58.96085451749757,0.3898000626200574,39,27,0
139,6716,udp,0,697,1,87,1,Edge,0,37190,52743,89933,258.5656265704059,0.5196795215146687,29,26,0
140,3289,udp,7,1180,0,94,0,Edge,1,53382,5624,59006,211.82073973392156,0.37246293453135615,21,37,0
141,8663,udp,0,1733,1,43,4,Chrome,0,24722,84146,108868,113.89979747799858,0.9048977088718262,46,7,1
142,11454,tcp,3,494,0,52,4,Edge,0,75632,15955,91587,338.8068151299629,0.6667875490438468,19,39,1
143,11266,udp,5,1597,1,99,4,Firefox,0,61964,6996,68960,223.13606107882208,0.13307891872946365,8,15,0
144,248,icmp,0,1972,1,54,4,Chrome,0,52415,72831,125246,195.43006808446052,0.8996248822270279,40,2,1
145,1113,icmp,1,74,1,69,3,Chrome,0,22244,3391,25635,479.1418529270385,0.5360321122733809,4,30,0
146,2205,icmp,9,1809,1,55,2,Chrome,0,22973,69427,92400,290.8236065324186,0.22339672989212478,8,9,0
147,17255,icmp,9,1708,1,56,0,Chrome,0,54669,54997,109666,57.77236248462674,0.16268753885388088,31,23,0
148,629,tcp,4,66,1,3,3,Edge,0,37527,65833,103360,228.54582721251992,0.4047936262548515,9,8,0
149,15402,udp,7,1515,1,29,0,Safari,0,46355,40402,86757,374.19948865733653,0.12474184703457092,23,33,0
150,11265,icmp,6,1109,1,39,2,Safari,1,41342,44482,85824,201.01329078077228,0.38711585119933645,30,9,1
151,18168,icmp,2,1356,1,70,0,Chrome,0,3625,90340,93965,212.7760485302413,0.096426148,1,31,0
152,19725,tcp,6,1298,1,14,2,Edge,0,58793,56587,115380,373.05665505721555,0.056881322053187744,22,34,0
153,12188,tcp,3,34,1,94,3,Firefox,0,53181,12510,65691,29.72217346907036,0.213063558,43,17,0
154,16982,icmp,6,313,1,93,3,Chrome,0,97636,38283,135919,290.2006897548837,0.48378150671515374,22,10,0
155,6737,udp,8,1624,1,39,5,Firefox,0,62493,19811,82304,105.7305653,0.9986574062489212,2,28,1
156,11879,udp,9,78,1,91,5,Edge,0,84402,97054,181456,291.6407974599982,0.6410772734231387,46,16,1
157,15343,icmp,0,1665,1,22,3,Firefox,0,91829,15476,107305,189.71678847049847,0.2273930666160061,27,11,0
158,16317,tcp,0,1006,0,55,2,Safari,0,78659,11760,90419,382.72289837988785,0.573781644,28,20,0
159,5416,udp,3,1239,1,73,4,Firefox,1,94220,40975,135195,246.89661701896654,0.8363941012223298,4,3,1
160,5242,udp,1,1942,1,48,1,Safari,1,2007,90199,92206,233.90133664675827,0.8841005246281948,4,3,0
161,15634,icmp,8,740,1,16,3,Firefox,1,976,67203,68179,202.62953208581098,0.9813931696234228,9,35,1
162,16107,icmp,7,1338,1,53,2,Safari,1,87573,32112,119685,494.71077001328575,0.5252563270841728,17,16,1
163,6835,udp,7,1138,1,19,3,Safari,1,53979,77833,131812,454.3101384687709,0.22000352199658224,26,13,1
164,2116,icmp,6,1077,0,40,3,Safari,1,43196,22247,65443,412.1720040508692,0.30075609772263123,49,37,1
165,14244,icmp,9,72,1,82,1,Firefox,0,73276,89383,162659,208.7903199307772,0.8389820739006226,26,29,0
166,786,udp,2,54,1,38,0,Edge,0,38352,80663,119015,346.00899922032875,0.9307416200132888,41,22,0
167,9753,udp,5,615,1,84,4,Safari,0,69059,59058,128117,374.4813581537653,0.9993421555695304,37,7,1
168,12707,tcp,7,1470,1,32,0,Safari,0,98720,76649,175369,176.08530548324705,0.032597529183766905,4,27,0
169,7648,icmp,1,782,1,42,4,Edge,0,11834,67263,79097,265.0507755347202,0.007861451,32,15,0
170,8255,udp,2,1995,0,56,3,Chrome,0,746,96939,97685,383.73989463171165,0.7417602,6,38,0
171,9404,icmp,9,347,0,54,2,Chrome,0,99629,65577,165206,414.3027521138801,0.24757585409296268,29,38,0
172,14277,udp,1,1352,1,26,0,Firefox,0,39273,39438,78711,345.2598903022142,0.4696860258031018,3,11,0
173,3049,tcp,2,689,1,67,5,Safari,1,19000,74716,93716,93.01230126697132,0.1916324970887856,10,8,1
174,13163,udp,2,1447,0,45,1,Safari,0,89076,87456,176532,231.92424020645157,0.1483264746063796,35,20,0
175,10346,tcp,8,377,1,14,5,Chrome,0,39676,86708,126384,252.35740473706807,0.19320536427801938,39,39,1
176,4038,icmp,7,1910,1,58,4,Chrome,0,80660,33136,113796,84.83609396611082,0.6355420393347183,2,34,0
177,3279,tcp,4,1483,1,51,1,Chrome,0,32083,43287,75370,442.2479658254065,0.7120068040169906,27,6,0
178,14064,icmp,1,316,0,6,2,Edge,1,84577,9884,94461,264.22245273782613,0.32687531370993095,16,18,1
179,4328,icmp,4,1495,0,62,0,Edge,0,6218,91566,97784,91.28857591417014,0.3887846534536843,29,21,0
180,19318,udp,8,803,1,55,1,Firefox,0,62507,64012,126519,144.60843066669833,0.080955165,18,25,0
181,4576,icmp,1,1611,0,31,2,Safari,0,89881,28210,118091,169.06588740037117,0.6182541104158086,40,29,0
182,1931,icmp,1,823,1,79,2,Chrome,0,92951,50533,143484,331.00185338039836,0.5919771788487874,17,5,0
183,6899,icmp,9,1681,1,41,1,Safari,0,79799,22529,102328,144.80696675772757,0.009435452,4,5,0
184,15834,tcp,0,846,1,54,3,Safari,0,77665,27800,105465,359.08925813730644,0.057332373,18,27,0
185,8640,udp,2,1420,1,48,0,Safari,1,61495,19078,80573,150.24592400134193,0.5720169264440547,39,15,0
186,2383,icmp,8,1222,0,23,5,Firefox,1,10307,71632,81939,155.3896017601798,0.32576633802590194,27,31,1
187,16600,icmp,2,223,1,89,5,Firefox,1,90100,42269,132369,199.9918786948403,0.6114023211748799,47,33,1
188,4979,icmp,8,74,0,91,1,Chrome,0,74826,87486,162312,53.952967436480286,0.5923465992201902,15,4,0
189,15494,udp,8,1010,0,32,2,Chrome,0,93161,39742,132903,152.04523963832443,0.7796449018765217,25,20,0
190,15988,udp,6,1384,0,81,2,Safari,0,71317,72787,144104,25.409157564855366,0.11662711565532558,31,18,0
191,7818,tcp,6,275,0,96,1,Safari,1,40258,20828,61086,104.42243713957426,0.4742515981548897,28,25,1
192,17479,udp,6,38,1,72,4,Safari,0,31016,66690,97706,283.48003239233253,0.628250896,14,38,0
193,3807,tcp,7,1753,1,32,4,Chrome,0,31959,34248,66207,105.62694390362131,0.12390481757439997,21,31,0
194,16530,udp,5,1253,1,99,3,Edge,0,80465,39550,120015,456.8161330268962,0.5652901705517945,2,34,0
195,1978,udp,9,1430,0,27,4,Chrome,1,25830,73842,99672,302.6037312557949,0.39285363663206807,28,11,1
196,7677,icmp,2,1326,1,44,3,Firefox,1,78133,57144,135277,272.76867323347005,0.014983823280211417,7,27,0
197,7743,tcp,3,313,1,91,4,Firefox,0,43455,56094,99549,410.1964426,0.45244922951982813,11,28,0
198,9636,udp,9,244,1,72,0,Edge,0,85319,55296,140615,112.86987117293053,0.3285065976946062,37,9,0
199,1997,udp,2,1856,1,26,4,Safari,0,92785,48251,141036,70.03604881243795,0.4917301976380414,47,26,0
200,12756,udp,1,1219,0,92,1,Firefox,0,53520,7801,61321,177.52816241735007,0.9872375639948332,46,10,0
201,16478,tcp,2,1633,1,51,3,Safari,1,31485,64558,96043,264.38592496604656,0.4661917096786048,41,36,1
202,16399,udp,6,1943,1,33,2,Edge,0,36855,89042,125897,10.268729510758316,0.27343602373289244,26,17,0
203,6431,udp,7,1348,1,66,5,Safari,0,61957,30439,92396,400.8350192329801,0.003460532,11,31,0
204,6880,icmp,6,459,1,19,4,Firefox,0,42379,25534,67913,434.44187682276555,0.1699989863339978,18,32,0
205,13340,tcp,8,1711,0,58,3,Firefox,0,61965,63435,125400,225.22421907213428,0.2929579759673673,34,10,0
206,553,udp,7,1869,0,74,5,Chrome,0,4045,43738,47783,372.8378155587508,0.6616337382660632,19,37,1
207,1980,tcp,5,508,1,30,5,Edge,0,73867,39435,113302,363.63801114006077,0.906930174,23,10,1
208,17069,tcp,6,648,1,38,2,Chrome,1,55565,23984,79549,335.8307977,0.9442376897729817,30,32,1
209,9938,icmp,1,335,1,89,0,Safari,0,8969,14304,23273,390.05693800301805,0.4846180434293178,20,1,0
210,11840,udp,0,714,0,94,0,Safari,0,14886,34205,49091,151.41420714083222,0.39258009813023576,11,38,0
211,8078,icmp,7,1489,1,6,5,Safari,0,21079,54747,75826,491.8083796121317,0.8441064018850507,7,22,1
212,728,icmp,4,1493,1,84,5,Edge,0,14992,614,15606,225.94795469390027,0.3551209895530515,0,38,0
213,8646,udp,3,1640,1,72,5,Edge,0,61000,54304,115304,133.80282805864408,0.42281110851830084,26,3,0
214,2041,tcp,8,1213,1,75,3,Edge,0,23200,41516,64716,479.7746316287661,0.6274538029567798,7,16,0
215,5068,icmp,3,1745,1,15,3,Firefox,1,30142,18367,48509,333.3655760229809,0.95966745,1,10,1
216,14332,icmp,7,1888,1,68,4,Chrome,0,9769,13914,23683,225.17459614143885,0.4122846286833983,15,30,0
217,17439,udp,2,530,1,81,2,Firefox,0,51892,28550,80442,105.06080282818867,0.6424852001125215,34,13,0
218,4317,icmp,6,101,1,64,2,Chrome,0,41779,23753,65532,16.42995596679821,0.023912926,10,39,0
219,7443,tcp,5,952,1,36,5,Firefox,1,92915,56022,148937,388.4856255403758,0.5010967829061035,4,3,1
220,3508,icmp,1,974,0,8,2,Chrome,0,12520,82415,94935,301.3972552150595,0.34484985465643747,45,30,0
221,13291,tcp,2,1288,0,81,3,Chrome,0,55479,49355,104834,233.07980714060986,0.078398414,42,7,0
222,11379,udp,9,719,1,6,3,Edge,0,2090,7160,9250,183.0966558845567,0.3934406273461438,5,7,0
223,2948,tcp,7,570,1,74,1,Chrome,0,71003,58319,129322,154.9346379877285,0.31350946237125077,35,23,0
224,13322,tcp,7,1570,1,64,5,Firefox,0,33001,80940,113941,165.04478179555605,0.3549071713884293,39,19,1
225,5405,udp,1,1331,1,47,2,Edge,1,11660,95183,106843,418.08233283227673,0.20334985140640816,6,37,0
226,17862,udp,5,1717,1,52,4,Firefox,1,80848,83285,164133,205.4748420293793,0.3957379811393945,5,3,1
227,928,icmp,7,1331,0,79,1,Chrome,0,10384,98223,108607,178.46653463993417,0.1324175293349258,17,18,0
228,5221,tcp,7,1193,0,81,1,Edge,0,11124,55096,66220,372.9678837780645,0.9265421203973317,2,20,0
229,12911,tcp,8,1222,1,38,3,Chrome,0,93367,83674,177041,389.34636548339796,0.5653420108537031,19,22,0
230,14653,udp,4,1530,1,96,2,Chrome,0,82711,71027,153738,349.02356975465676,0.013719029394109405,0,3,0
231,11895,udp,4,1201,0,28,1,Edge,0,82522,56545,139067,24.49803650971158,0.5976336916109751,1,2,0
232,5248,udp,3,1195,1,54,3,Safari,0,85304,68009,153313,462.8234549839051,0.9279299033131854,9,21,0
233,8897,icmp,8,257,0,98,2,Safari,0,99373,27369,126742,184.5125936873041,0.8389451242076286,29,11,1
234,11428,icmp,0,751,0,88,4,Firefox,0,90776,88754,179530,219.5091695366277,0.4909855374923089,49,9,1
235,9705,tcp,4,1613,0,71,4,Safari,1,31127,19159,50286,12.987984041927445,0.9311939190304315,31,37,1
236,8878,udp,5,1781,1,28,3,Edge,0,22686,17179,39865,200.0269386884201,0.21274452258179455,43,30,0
237,10644,tcp,8,1768,1,41,1,Safari,0,57281,15232,72513,98.75647221772664,0.061083653,21,37,0
238,1059,udp,3,629,0,38,3,Chrome,0,95292,99203,194495,7.762256612576549,0.8723700824223829,30,19,1
239,12051,icmp,5,1655,0,26,4,Safari,0,10799,46692,57491,375.8521804116142,0.1675247220934919,48,31,0
240,5385,udp,6,461,0,44,1,Safari,0,88304,81040,169344,88.08485229601749,0.5356679136196053,45,8,0
241,1468,icmp,1,876,1,20,0,Chrome,1,71109,75693,146802,66.06361588336752,0.028677907101309352,11,15,0
